排名,准确率,模型数,模型组合,权重
1,0.9074,5,best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.2465, +0.1254, +0.1454, +0.2478, +0.2349"
2,0.9074,6,best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data17917_acc85.1004_loss0.0404_2026_05_02_13_44_59 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.9991_loss0.0303_2026_05_02_10_36_14 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.0941, +0.2097, +0.1545, +0.0579, +0.2410, +0.2429"
3,0.9074,7,best_model_acc_data12904_acc83.3462_loss0.0456_2026_05_02_12_09_04 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17,"-0.0186, +0.1778, +0.0911, +0.2489, +0.2114, +0.1720, +0.0802"
4,0.9072,7,best_model_acc_data12904_acc83.3462_loss0.0456_2026_05_02_12_09_04 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.1777_loss0.3219_2026_05_02_13_04_38 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"-0.0159, +0.1768, -0.0032, +0.1642, +0.2540, +0.2133, +0.1726"
5,0.9072,7,best_model_acc_data12904_acc83.3462_loss0.0456_2026_05_02_12_09_04 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.1777_loss0.3219_2026_05_02_13_04_38,"-0.0159, +0.1768, +0.1642, +0.2540, +0.2133, +0.1726, -0.0032"
6,0.9072,8,best_model_acc_data12904_acc83.3462_loss0.0456_2026_05_02_12_09_04 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data87652_acc87.8280_loss0.0311_2026_05_02_10_52_37 + best_model_acc_data87652_acc87.9991_loss0.0303_2026_05_02_10_36_14 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"-0.0203, +0.1766, +0.1424, +0.0232, +0.0292, +0.2456, +0.2006, +0.1620"
7,0.9071,7,best_model_acc_data12904_acc83.8110_loss0.0463_2026_05_02_12_06_50 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.5998_loss0.0323_2026_05_02_11_08_17 + best_model_acc_data87652_acc87.9991_loss0.0303_2026_05_02_10_36_14 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15,"+0.0244, +0.1786, +0.1001, +0.0505, +0.2558, +0.2089, +0.1817"
8,0.9071,8,best_model_acc_data12904_acc83.3462_loss0.0456_2026_05_02_12_09_04 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data87652_acc87.8280_loss0.0311_2026_05_02_10_52_37 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17,"-0.0197, +0.1765, +0.0917, +0.0215, +0.2430, +0.2083, +0.1650, +0.0743"
9,0.9071,8,best_model_acc_data12904_acc83.3462_loss0.0456_2026_05_02_12_09_04 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data87652_acc87.9991_loss0.0303_2026_05_02_10_36_14 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17,"-0.0195, +0.1762, +0.0862, +0.0268, +0.2465, +0.2011, +0.1684, +0.0753"
10,0.9071,10,best_model_acc_data12904_acc83.8110_loss0.0463_2026_05_02_12_06_50 + best_model_acc_data17917_acc84.0960_loss0.0437_2026_05_02_13_46_34 + best_model_acc_data87652_acc87.1777_loss0.3219_2026_05_02_13_04_38 + best_model_acc_data87652_acc87.7595_loss0.0879_2026_05_02_12_08_17 + best_model_acc_data87652_acc87.8280_loss0.0311_2026_05_02_10_52_37 + best_model_acc_data87652_acc87.9991_loss0.0303_2026_05_02_10_36_14 + best_model_acc_data97158_acc87.8860_loss0.0307_2026_05_02_13_32_46 + best_model_acc_data97158_acc88.0712_loss0.0304_2026_05_02_12_56_16 + best_model_acc_data97158_acc88.6373_loss0.0294_2026_05_02_13_15_15 + best_model_loss_data87652_acc87.1777_loss0.3219_2026_05_02_13_04_38,"+0.0105, +0.1609, -0.0089, +0.1432, +0.0237, +0.0291, +0.2496, +0.2017, +0.1633, -0.0089"
